date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
18/09/1999,2,3,3,4,4,4,3,2
19/09/1999,2,3,2,3,3,3,2,2
20/09/1999,2,2,2,3,3,2,3,3
21/09/1999,1,1,2,3,3,3,3,3
22/09/1999,3,2,3,3,4,3,5,7
23/09/1999,6,6,3,1,2,3,2,2
24/09/1999,2,2,2,2,2,1,2,2
25/09/1999,1,0,1,1,2,2,2,1
26/09/1999,1,0,1,1,3,5,4,4
27/09/1999,4,4,5,5,5,5,4,4
28/09/1999,4,4,4,4,4,3,3,4
29/09/1999,4,3,4,5,3,2,3,3
30/09/1999,4,6,4,4,4,3,3,2
01/10/1999,2,3,2,3,3,3,3,3
02/10/1999,3,4,4,3,3,3,2,2
03/10/1999,2,1,3,3,3,3,2,2
04/10/1999,1,3,3,3,3,3,3,3
05/10/1999,3,3,3,3,4,3,3,3
06/10/1999,1,1,3,3,2,2,2,1
07/10/1999,2,2,2,1,2,2,2,1
08/10/1999,2,3,2,3,3,1,1,1
09/10/1999,0,1,2,1,2,2,3,3
10/10/1999,3,4,5,5,5,5,4,3
11/10/1999,4,2,4,4,4,4,3,4
12/10/1999,4,5,4,6,5,4,4,4
13/10/1999,4,3,5,4,4,3,3,3
14/10/1999,3,4,4,4,4,5,3,4
15/10/1999,4,4,5,4,4,4,3,3
16/10/1999,4,4,3,3,4,4,3,3
17/10/1999,4,3,5,5,5,3,1,2
18/10/1999,1,1,1,1,3,3,2,2
19/10/1999,2,2,4,1,1,2,2,1
20/10/1999,0,1,1,1,2,2,2,1
21/10/1999,3,4,2,2,2,3,3,4
22/10/1999,7,8,8,6,4,4,4,3
23/10/1999,3,4,4,3,5,5,4,3
24/10/1999,4,4,5,4,4,3,3,4
25/10/1999,3,3,4,4,4,3,3,1
26/10/1999,1,3,2,3,3,3,2,2
27/10/1999,2,3,3,4,4,4,2,2
28/10/1999,2,1,3,1,5,4,3,3
29/10/1999,3,2,3,3,3,2,2,2
30/10/1999,1,1,1,2,3,2,2,2
31/10/1999,2,2,3,3,3,3,2,3
01/11/1999,3,2,2,4,3,2,2,1
02/11/1999,2,1,2,2,2,2,2,2
03/11/1999,3,0,1,1,1,2,2,2
04/11/1999,1,2,1,1,1,2,2,2
05/11/1999,1,0,0,0,0,1,2,3
06/11/1999,2,1,1,1,1,2,3,2
07/11/1999,3,4,5,4,5,4,3,3
08/11/1999,3,4,5,5,6,4,4,4
09/11/1999,3,4,4,5,4,4,4,4
10/11/1999,3,3,2,3,3,3,3,3
11/11/1999,3,4,5,4,4,3,3,3
12/11/1999,2,1,2,1,3,2,3,3
13/11/1999,2,3,4,3,5,4,5,5
